date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,-3,3,13.0,-3.0,5,0
2020-02-16,-9,-7,-41.0,-9.0,-2,3
2020-02-17,-5,4,-5.0,2.0,0,0
2020-02-18,-6,-2,-8.0,-1.0,-1,1
2020-02-19,-2,3,9.0,0.0,0,1
2020-02-20,5,4,10.0,0.0,1,0
2020-02-21,-1,2,18.0,2.0,0,1
2020-02-22,-8,-3,-23.0,-4.0,-2,2
2020-02-23,2,5,5.0,11.0,-1,0
2020-02-24,28,7,110.0,-3.0,-54,13
2020-02-25,-1,7,-4.0,-3.0,1,1
2020-02-26,-1,4,6.0,-3.0,0,1
2020-02-27,0,5,-5.0,-5.0,0,1
2020-02-28,0,13,-1.0,-11.0,1,2
2020-02-29,-8,10,-34.0,-30.0,1,4
2020-03-01,-5,12,1.0,-22.0,4,3
2020-03-02,-7,9,4.0,-15.0,-1,3
2020-03-03,1,9,20.0,-17.0,-2,3
2020-03-04,-10,-2,-23.0,-20.0,-4,5
2020-03-05,-6,2,-17.0,-18.0,-3,4
2020-03-06,-8,4,15.0,-19.0,-3,4
2020-03-07,-7,5,23.0,-25.0,-4,4
2020-03-08,-13,-3,-43.0,-32.0,-5,6
2020-03-09,-6,4,31.0,-13.0,-3,3
2020-03-10,-10,-2,-26.0,-21.0,-5,5
2020-03-11,2,2,6.0,-16.0,-4,4
2020-03-12,6,7,44.0,-12.0,-4,2
2020-03-13,-2,4,26.0,-16.0,-4,4
2020-03-14,-6,0,-30.0,-30.0,-7,5
2020-03-15,-3,5,5.0,-22.0,-2,3
2020-03-16,-10,-1,-22.0,-16.0,-4,4
2020-03-17,0,5,33.0,-14.0,-4,3
2020-03-18,0,4,38.0,-13.0,-3,3
2020-03-19,13,9,37.0,-7.0,-5,1
2020-03-20,22,11,93.0,-20.0,-53,16
2020-03-21,-1,8,73.0,-12.0,-8,3
2020-03-22,-6,2,9.0,-13.0,-3,3
2020-03-23,-2,4,20.0,-12.0,-3,3
2020-03-24,2,4,18.0,-15.0,-4,3
2020-03-25,5,7,44.0,-9.0,-4,2
2020-03-26,8,11,53.0,-7.0,-5,2
2020-03-27,-6,1,-18.0,-18.0,-6,5
2020-03-28,-8,3,-17.0,-29.0,-4,5
2020-03-29,-6,7,-8.0,-25.0,-2,4
2020-03-30,-2,5,19.0,-15.0,-6,4
2020-03-31,1,9,36.0,-18.0,-7,4
2020-04-01,-14,-7,-21.0,-22.0,-8,6
2020-04-02,-3,6,19.0,-21.0,-8,5
2020-04-03,-8,7,72.0,-23.0,-7,5
2020-04-04,-10,12,87.0,-33.0,-10,6
2020-04-05,-15,10,34.0,-37.0,-8,6
2020-04-06,-10,9,45.0,-22.0,-8,5
2020-04-07,-8,8,64.0,-25.0,-9,5
2020-04-08,-11,4,47.0,-26.0,-12,6
2020-04-09,-11,5,41.0,-28.0,-10,6
2020-04-10,-17,5,19.0,-34.0,-11,8
2020-04-11,-20,8,33.0,-48.0,-17,9
2020-04-12,-33,-8,-50.0,-60.0,-17,11
2020-04-13,-29,-8,-43.0,-40.0,-14,10
2020-04-14,-15,6,20.0,-37.0,-14,8
2020-04-15,-13,9,35.0,-35.0,-14,8
2020-04-16,-13,6,34.0,-38.0,-15,9
2020-04-17,-22,2,6.0,-44.0,-16,11
2020-04-18,-38,-8,-48.0,-64.0,-22,14
2020-04-19,-34,-1,-13.0,-58.0,-19,10
2020-04-20,-30,-6,-35.0,-48.0,-18,12
2020-04-21,-23,2,18.0,-46.0,-20,11
2020-04-22,-28,-2,3.0,-47.0,-21,12
2020-04-23,-27,-4,-5.0,-47.0,-22,13
2020-04-24,-30,0,-20.0,-52.0,-23,15
2020-04-25,-33,0,-2.0,-59.0,-24,13
2020-04-26,-38,-5,-28.0,-63.0,-23,11
2020-04-27,-26,-1,1.0,-47.0,-22,12
2020-04-28,-19,3,9.0,-48.0,-24,11
2020-04-29,-16,-4,33.0,-64.0,-62,21
2020-04-30,-15,5,13.0,-51.0,-33,15
2020-05-01,-23,4,13.0,-56.0,-38,19
2020-05-02,-35,-1,-9.0,-63.0,-33,14
2020-05-03,-36,-4,-30.0,-67.0,-28,11
2020-05-04,-10,-2,-1.0,-71.0,-76,29
2020-05-05,-3,5,56.0,-68.0,-75,28
2020-05-06,-20,-9,-24.0,-72.0,-73,30
2020-05-07,-21,2,5.0,-47.0,-25,13
2020-05-08,-28,2,7.0,-50.0,-25,15
2020-05-09,-36,-3,-31.0,-62.0,-17,13
2020-05-10,-33,-3,-45.0,-65.0,-22,11
2020-05-11,-26,1,-2.0,-43.0,-18,11
2020-05-12,-23,4,12.0,-44.0,-19,11
2020-05-13,-22,1,4.0,-43.0,-20,11
2020-05-14,-20,3,6.0,-43.0,-19,10
2020-05-15,-24,3,-4.0,-48.0,-19,12
2020-05-16,-36,-11,-68.0,-65.0,-24,14
2020-05-17,-26,3,-14.0,-55.0,-16,8
2020-05-18,-26,-4,-19.0,-43.0,-16,10
2020-05-19,-22,2,-5.0,-44.0,-17,10
2020-05-20,-15,3,9.0,-41.0,-16,10
2020-05-21,-13,4,5.0,-40.0,-16,9
2020-05-22,-18,3,13.0,-44.0,-17,11
2020-05-23,-18,4,8.0,-51.0,-18,9
2020-05-24,-19,4,0.0,-48.0,-15,7
2020-05-25,-14,8,2.0,-36.0,-14,8
2020-05-26,-16,2,-6.0,-38.0,-14,9
2020-05-27,-11,5,14.0,-35.0,-14,8
2020-05-28,-7,6,18.0,-33.0,-14,8
2020-05-29,-11,7,17.0,-37.0,-15,9
2020-05-30,-13,7,13.0,-42.0,-17,7
2020-05-31,-18,4,-47.0,-49.0,-14,8
2020-06-01,-16,3,4.0,-29.0,-8,6
2020-06-02,-12,5,21.0,-30.0,-10,7
2020-06-03,-11,5,17.0,-27.0,-10,7
2020-06-04,-7,5,14.0,-28.0,-10,6
2020-06-05,-11,6,18.0,-30.0,-13,8
2020-06-06,-9,7,28.0,-37.0,-16,6
2020-06-07,-8,8,30.0,-32.0,-11,5
2020-06-08,-12,2,14.0,-26.0,-8,6
2020-06-09,-9,5,28.0,-26.0,-9,5
2020-06-10,-7,4,9.0,-25.0,-9,6
2020-06-11,-12,-4,-23.0,-28.0,-11,7
2020-06-12,-10,2,-6.0,-30.0,-13,8
2020-06-13,-14,-4,-44.0,-46.0,-22,9
2020-06-14,-10,3,-38.0,-43.0,-14,6
2020-06-15,-7,8,6.0,-24.0,-9,5
2020-06-16,-6,6,26.0,-24.0,-8,5
2020-06-17,-3,4,31.0,-19.0,-8,5
2020-06-18,-9,-2,-16.0,-25.0,-10,6
2020-06-19,-9,1,-19.0,-29.0,-13,8
2020-06-20,-2,11,40.0,-26.0,-13,4
2020-06-21,-3,10,37.0,-20.0,-9,3
2020-06-22,-8,5,16.0,-21.0,-9,5
2020-06-23,-5,6,32.0,-20.0,-8,4
2020-06-24,-6,5,29.0,-18.0,-9,5
2020-06-25,-3,7,4.0,-19.0,-9,5
2020-06-26,-5,4,3.0,-24.0,-12,7
2020-06-27,-2,9,30.0,-24.0,-16,5
2020-06-28,-5,5,-11.0,-29.0,-11,4
2020-06-29,-5,3,15.0,-19.0,-8,5
2020-06-30,-8,-2,-23.0,-25.0,-9,6
2020-07-01,-7,1,12.0,-20.0,-7,4
2020-07-02,-3,2,20.0,-18.0,-7,4
2020-07-03,-11,-3,-9.0,-24.0,-9,6
2020-07-04,-10,0,-31.0,-37.0,-14,7
2020-07-05,-7,4,-3.0,-30.0,-9,4
2020-07-06,-17,-7,-32.0,-24.0,-9,6
2020-07-07,-9,1,-15.0,-23.0,-9,5
2020-07-08,-8,0,-10.0,-23.0,-9,6
2020-07-09,-5,3,-11.0,-20.0,-8,5
2020-07-10,-8,1,-13.0,-24.0,-11,6
2020-07-11,-11,0,-32.0,-38.0,-16,7
2020-07-12,-5,5,7.0,-28.0,-9,4
2020-07-13,-17,-5,-30.0,-22.0,-9,6
2020-07-14,-10,0,-16.0,-24.0,-9,6
2020-07-15,-1,5,6.0,-19.0,-8,4
2020-07-16,-1,3,19.0,-16.0,-8,4
2020-07-17,-8,0,-4.0,-22.0,-11,6
2020-07-18,-6,3,10.0,-32.0,-11,5
2020-07-19,-7,3,17.0,-26.0,-9,4
2020-07-20,-8,2,3.0,-19.0,-7,4
2020-07-21,-6,4,9.0,-20.0,-8,4
2020-07-22,3,8,22.0,-10.0,-7,3
2020-07-23,30,12,63.0,-19.0,-57,16
2020-07-24,15,7,77.0,-32.0,-62,20
2020-07-25,-13,-3,-23.0,-33.0,-24,9
2020-07-26,-16,-2,-21.0,-28.0,-12,6
2020-07-27,-10,2,-9.0,-20.0,-10,5
2020-07-28,-6,4,8.0,-21.0,-9,5
2020-07-29,-8,1,4.0,-21.0,-10,6
2020-07-30,-3,3,6.0,-21.0,-10,5
2020-07-31,-8,5,15.0,-26.0,-11,6
2020-08-01,-11,6,32.0,-30.0,-10,5
2020-08-02,-11,6,24.0,-27.0,-8,4
2020-08-03,-8,4,17.0,-20.0,-10,5
2020-08-04,-4,9,33.0,-21.0,-11,5
2020-08-05,-2,6,29.0,-19.0,-12,5
2020-08-06,1,6,24.0,-19.0,-13,5
2020-08-07,-5,4,24.0,-22.0,-14,6
2020-08-08,-10,6,26.0,-25.0,-11,5
2020-08-09,-5,7,34.0,-17.0,-9,3
2020-08-10,25,13,104.0,-28.0,-65,19
2020-08-11,17,15,69.0,-24.0,-37,10
2020-08-12,16,11,69.0,-22.0,-42,12
2020-08-13,30,18,82.0,-24.0,-58,16
2020-08-14,17,14,113.0,-29.0,-63,19
2020-08-15,-8,4,49.0,-26.0,-45,9
2020-08-16,-15,0,8.0,-28.0,-19,5
2020-08-17,-7,2,,-24.0,-15,7
2020-08-18,-8,5,,-24.0,-13,6
2020-08-19,-9,3,,-22.0,-12,6
2020-08-20,-2,5,,-24.0,-11,5
2020-08-21,-9,1,,-29.0,-12,7
2020-08-22,-11,2,9.0,-36.0,-13,6
2020-08-23,-10,3,6.0,-34.0,-8,5
2020-08-24,-10,1,,-24.0,-9,5
2020-08-25,-4,6,,-24.0,-10,5
2020-08-26,-3,3,,-22.0,-9,5
2020-08-27,-2,2,,-22.0,-9,5
2020-08-28,-10,1,,-27.0,-11,7
2020-08-29,-6,7,19.0,-31.0,-12,5
2020-08-30,-5,7,12.0,-27.0,-9,4
2020-08-31,-6,3,,-24.0,-8,5
2020-09-01,-8,2,,-24.0,-8,5
2020-09-02,-7,-1,,-23.0,-8,5
2020-09-03,-5,1,,-24.0,-8,5
2020-09-04,-11,0,,-28.0,-10,6
2020-09-05,-6,7,14.0,-34.0,-12,5
2020-09-06,-11,-1,-21.0,-37.0,-10,5
2020-09-07,-13,-4,,-27.0,-9,6
2020-09-08,-7,2,,-22.0,-9,4
2020-09-09,-5,0,,-21.0,-8,4
2020-09-10,-3,0,,-20.0,-8,4
2020-09-11,-5,2,12.0,-25.0,-10,4
2020-09-12,-3,6,23.0,-30.0,-13,4
2020-09-13,-4,4,-14.0,-30.0,-8,3
2020-09-14,-5,1,28.0,-19.0,-6,3
2020-09-15,-1,6,49.0,-18.0,-7,2
2020-09-16,-2,2,28.0,-17.0,-7,3
2020-09-17,-3,-1,9.0,-18.0,-7,3
2020-09-18,-8,-1,1.0,-19.0,-8,4
2020-09-19,-2,8,39.0,-8.0,-8,2
2020-09-20,6,11,62.0,15.0,-5,-1
2020-09-21,42,21,198.0,7.0,-62,13
2020-09-22,26,15,146.0,-14.0,-59,15
2020-09-23,-7,2,17.0,-14.0,-5,4
2020-09-24,-5,2,10.0,-16.0,-5,3
2020-09-25,-14,-3,-26.0,-22.0,-8,6
2020-09-26,-6,7,13.0,-26.0,-3,4
2020-09-27,-3,9,19.0,-16.0,-4,3
2020-09-28,-3,6,24.0,-13.0,-6,3
2020-09-29,-2,6,34.0,-14.0,-7,3
2020-09-30,2,8,20.0,-13.0,-6,3
2020-10-01,-2,4,17.0,-15.0,-4,2
2020-10-02,-6,1,24.0,-19.0,-7,4
2020-10-03,-4,6,32.0,-21.0,-10,3
2020-10-04,-5,4,10.0,-15.0,-7,3
2020-10-05,-7,1,7.0,-15.0,-6,3
2020-10-06,-4,3,35.0,-15.0,-6,2
2020-10-07,-4,1,18.0,-13.0,-6,3
2020-10-08,-8,-4,-25.0,-18.0,-7,4
2020-10-09,-13,-3,-28.0,-24.0,-9,6
2020-10-10,-9,0,-31.0,-39.0,-16,8
2020-10-11,-2,7,20.0,-15.0,-5,2
2020-10-12,-6,3,22.0,-14.0,-6,3
2020-10-13,-4,4,38.0,-15.0,-6,3
2020-10-14,-3,2,35.0,-12.0,-6,3
2020-10-15,3,9,26.0,-10.0,-5,2
2020-10-16,-2,4,22.0,-15.0,-7,4
2020-10-17,-7,0,-34.0,-27.0,-11,6
2020-10-18,2,9,26.0,-3.0,-6,1
2020-10-19,-6,0,0.0,-14.0,-5,3
2020-10-20,2,7,35.0,-13.0,-6,3
2020-10-21,1,7,33.0,-9.0,-5,3
2020-10-22,-2,2,-3.0,-14.0,-5,3
2020-10-23,-5,2,-11.0,-17.0,-8,5
2020-10-24,3,10,40.0,-12.0,-10,2
2020-10-25,4,10,35.0,0.0,-5,1
2020-10-26,-1,7,21.0,-11.0,-4,2
2020-10-27,-1,5,43.0,-11.0,-5,2
2020-10-28,3,4,26.0,-9.0,-4,3
2020-10-29,5,4,25.0,-11.0,-5,2
2020-10-30,1,4,18.0,-14.0,-7,3
2020-10-31,3,9,43.0,-10.0,-10,2
2020-11-01,2,6,25.0,-1.0,-3,1
2020-11-02,-1,-2,-23.0,-17.0,-9,4
2020-11-03,31,10,110.0,-20.0,-53,15
2020-11-04,-2,2,8.0,-12.0,-3,3
2020-11-05,2,3,23.0,-11.0,-3,2
2020-11-06,-6,1,19.0,-17.0,-5,3
2020-11-07,-6,1,-19.0,-25.0,-4,5
2020-11-08,3,6,19.0,-6.0,-4,2
2020-11-09,-4,2,9.0,-13.0,-4,3
2020-11-10,-1,4,22.0,-14.0,-5,3
2020-11-11,1,4,23.0,-11.0,-5,3
2020-11-12,1,3,24.0,-10.0,-4,3
2020-11-13,-4,4,27.0,-15.0,-6,4
2020-11-14,1,9,45.0,-12.0,-10,3
2020-11-15,3,9,35.0,-3.0,-5,1
2020-11-16,-5,3,26.0,-11.0,-4,3
2020-11-17,-2,3,49.0,-10.0,-6,3
2020-11-18,0,5,38.0,-8.0,-5,3
2020-11-19,3,4,31.0,-8.0,-5,3
2020-11-20,-5,2,-7.0,-14.0,-7,5
2020-11-21,-2,8,27.0,-7.0,-7,3
2020-11-22,3,8,38.0,7.0,-5,1
2020-11-23,27,11,75.0,-16.0,-59,17
2020-11-24,-4,5,35.0,-11.0,-5,3
2020-11-25,-1,5,25.0,-8.0,-4,3
2020-11-26,1,4,21.0,-10.0,-4,3
2020-11-27,-5,4,27.0,-16.0,-5,4
2020-11-28,-4,6,6.0,-24.0,-6,4
2020-11-29,-3,7,14.0,-15.0,-6,3
2020-11-30,-3,5,6.0,-16.0,-4,3
2020-12-01,-6,3,23.0,-18.0,-4,3
2020-12-02,-2,3,28.0,-15.0,-3,3
2020-12-03,-1,3,9.0,-17.0,-3,3
2020-12-04,-5,4,16.0,-22.0,-5,4
2020-12-05,-1,7,19.0,-27.0,-6,4
2020-12-06,-2,5,14.0,-19.0,-5,3
2020-12-07,-6,3,13.0,-18.0,-4,3
2020-12-08,-5,3,12.0,-20.0,-4,3
2020-12-09,-3,3,14.0,-18.0,-4,4
2020-12-10,1,5,12.0,-17.0,-4,3
2020-12-11,-5,2,11.0,-22.0,-5,4
2020-12-12,-3,6,0.0,-31.0,-8,4
2020-12-13,-1,5,-16.0,-26.0,-4,3
2020-12-14,-7,1,-13.0,-20.0,-4,4
2020-12-15,-2,6,-11.0,-21.0,-5,3
2020-12-16,-5,0,-15.0,-20.0,-5,4
2020-12-17,-5,2,-19.0,-20.0,-5,4
2020-12-18,-5,5,-9.0,-23.0,-5,4
2020-12-19,-5,5,-31.0,-36.0,-5,4
2020-12-20,-4,5,-38.0,-32.0,-4,4
2020-12-21,-5,4,-12.0,-21.0,-4,3
2020-12-22,-2,5,8.0,-20.0,-5,3
2020-12-23,1,7,3.0,-17.0,-4,3
2020-12-24,9,13,-15.0,-22.0,-6,4
2020-12-25,-2,8,-15.0,-26.0,-7,6
2020-12-26,-8,7,-21.0,-32.0,-3,5
2020-12-27,-7,6,-24.0,-28.0,-4,4
2020-12-28,19,17,-12.0,-27.0,-31,10
2020-12-29,34,26,18.0,-31.0,-56,16
2020-12-30,26,25,-34.0,-40.0,-70,22
2020-12-31,-10,1,-42.0,-58.0,-79,29
2021-01-01,-33,-42,-27.0,-60.0,-86,32
2021-01-02,-21,-15,-35.0,-42.0,-61,13
2021-01-03,-17,-10,-41.0,-29.0,-33,7
2021-01-04,16,8,1.0,-31.0,-49,17
2021-01-05,-4,2,-3.0,-29.0,-18,9
2021-01-06,-6,4,-4.0,-25.0,-7,6
2021-01-07,-13,-2,-24.0,-28.0,-5,6
2021-01-08,-21,-6,-24.0,-34.0,-7,8
2021-01-09,-17,-2,-30.0,-46.0,-7,7
2021-01-10,-11,-2,-27.0,-41.0,-8,6
2021-01-11,7,0,7.0,-50.0,-59,21
2021-01-12,-20,-5,-23.0,-28.0,-6,6
2021-01-13,-15,-1,-6.0,-25.0,-5,5
2021-01-14,-13,-3,-1.0,-28.0,-6,4
2021-01-15,-18,-2,-5.0,-34.0,-8,5
2021-01-16,-20,-4,-31.0,-49.0,-8,7
2021-01-17,-18,-6,-33.0,-48.0,-12,6
2021-01-18,-19,-6,-10.0,-32.0,-8,5
2021-01-19,-20,-7,-16.0,-34.0,-10,6
2021-01-20,-10,-2,2.0,-30.0,-8,5
2021-01-21,-10,-2,7.0,-31.0,-8,5
2021-01-22,-22,-9,-36.0,-38.0,-10,8
2021-01-23,-20,-7,-54.0,-53.0,-14,9
2021-01-24,-18,-7,-61.0,-52.0,-12,7
2021-01-25,-12,1,1.0,-31.0,-7,5
2021-01-26,-14,-3,6.0,-31.0,-9,5
2021-01-27,-12,-4,-9.0,-31.0,-8,6
2021-01-28,-10,-2,-5.0,-30.0,-8,5
2021-01-29,-18,-5,-20.0,-37.0,-10,7
2021-01-30,-13,1,-26.0,-47.0,-11,7
2021-01-31,-12,3,-20.0,-42.0,-8,5
2021-02-01,-18,-6,-19.0,-32.0,-7,5
2021-02-02,-11,8,-13.0,-34.0,-8,5
2021-02-03,-16,-7,-13.0,-32.0,-8,6
2021-02-04,-13,-4,-14.0,-31.0,-9,5
2021-02-05,-15,-1,2.0,-36.0,-10,6
2021-02-06,-11,3,13.0,-42.0,-11,6
2021-02-07,-13,-1,-12.0,-40.0,-6,5
2021-02-08,-16,-4,-14.0,-32.0,-9,5
2021-02-09,-16,-5,-9.0,-31.0,-10,6
2021-02-10,-7,2,8.0,-26.0,-7,4
2021-02-11,17,7,57.0,-42.0,-53,17
2021-02-12,-12,-1,4.0,-35.0,-12,6
2021-02-13,-12,2,17.0,-39.0,-8,5
2021-02-14,-12,-1,7.0,-34.0,-9,4
2021-02-15,-17,-4,-33.0,-31.0,-9,6
2021-02-16,-13,1,-1.0,-30.0,-10,4
2021-02-17,-14,-5,-18.0,-29.0,-10,5
2021-02-18,-14,-7,-21.0,-31.0,-10,5
2021-02-19,-14,-1,-13.0,-31.0,-10,6
2021-02-20,-8,7,7.0,-36.0,-11,5
2021-02-21,-9,6,18.0,-29.0,-10,3
2021-02-22,-2,5,19.0,-27.0,-12,3
2021-02-23,11,5,39.0,-43.0,-54,17
2021-02-24,-10,0,-3.0,-25.0,-8,4
2021-02-25,-4,3,6.0,-25.0,-8,3
2021-02-26,-14,-2,-25.0,-30.0,-9,6
2021-02-27,-7,6,-4.0,-35.0,-9,4
2021-02-28,-7,6,-3.0,-29.0,-7,3
2021-03-01,-9,2,3.0,-26.0,-8,4
2021-03-02,-19,-8,-27.0,-31.0,-10,6
2021-03-03,-4,4,6.0,-25.0,-8,4
2021-03-04,-8,-2,6.0,-25.0,-9,4
2021-03-05,-15,-6,-28.0,-32.0,-10,6
2021-03-06,-8,4,-8.0,-34.0,-12,5
2021-03-07,-9,2,-4.0,-25.0,-8,3
2021-03-08,-10,-1,-6.0,-25.0,-8,4
2021-03-09,-6,2,18.0,-24.0,-10,3
2021-03-10,-3,3,13.0,-22.0,-9,4
2021-03-11,-2,2,19.0,-20.0,-8,3
2021-03-12,-10,-1,-11.0,-27.0,-11,5
2021-03-13,-8,2,-29.0,-34.0,-14,5
2021-03-14,-3,8,9.0,-17.0,-7,2
2021-03-15,-5,4,18.0,-20.0,-9,3
2021-03-16,-11,0,3.0,-23.0,-9,4
2021-03-17,-1,2,17.0,-20.0,-8,3
2021-03-18,1,3,23.0,-19.0,-9,3
2021-03-19,0,6,26.0,-21.0,-14,4
